종목코드,최고가,최저가,수익률(1달),수익률(3달),수익률(6달),수익률(1년),발행주식수,시가총액,업종명,액면가,자본금
104200,"8,910","3,365",-11.43,-26.74,-43.17,-44.75,"14,827,550",500,소프트웨어 개발 및 공급업,500,7413775000
400760,"3,840","2,940",-2.24,+1.24,-2.96,+10.08,"42,200,000","1,382",부동산 임대 및 공급업,500,21100000000
338100,"4,535","3,950",+3.32,+3.45,-0.83,+2.69,"18,660,000",784,부동산 임대 및 공급업,500,9330000000
456040,"158,600","101,700",-14.19,-21.35,-,-,"7,436,729","7,779",기초 화학물질 제조업,5000,37183645000
178920,"39,500","24,550",-7.72,-16.75,-24.05,-15.77,"29,366,322","7,371",플라스틱제품 제조업,500,14683161000
218410,"28,200","14,010",-5.32,-22.60,-37.98,-29.31,"26,786,434","3,863",통신 및 방송 장비 제조업,500,13393217000
327260,"16,340","9,960",-3.66,-12.14,-18.98,-8.77,"8,433,231",842,전자부품 제조업,500,4216615500
419530,"48,200","18,750",-11.97,-10.82,-23.99,-,"8,590,930","1,770","영화, 비디오물, 방송프로그램 제작 및 배급업",500,4295465000
950110,"5,450","3,655",-3.78,+14.05,+1.79,+20.00,"24,052,540","1,162",소프트웨어 개발 및 공급업,무액면,0
151910,"1,380",417,+9.87,+7.51,-13.47,-62.05,"177,134,118",887,전자부품 제조업,100,17713411800
255220,"1,965","1,088",-5.06,-14.67,-5.64,-22.56,"47,542,756",517,기타 비금속 광물제품 제조업,100,4754275600
184230,"1,096",652,-6.86,-12.48,-29.51,-14.32,"54,187,224",353,소프트웨어 개발 및 공급업,100,5418722400
123700,"5,840","3,365",-5.28,-13.15,+0.14,+3.09,"15,604,898",546,자동차 신품 부품 제조업,500,7802449000
210980,"30,650","17,710",-4.41,+34.16,+16.56,+27.53,"22,190,164","6,014",부동산 임대 및 공급업,1000,22190164000
395400,"5,472","3,785",-9.64,-18.51,-21.67,-15.65,"270,132,679","10,252",부동산 임대 및 공급업,500,135066339500
